gameid,team,model_prob_1,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1206,Western Bulldogs,0.6233425171307491,Western Bulldogs,Western Bulldogs,Port Adelaide,2012-06-17,2012,R12,Docklands,16:40:00,1,1,73.0,8.48,8,88.4,-15.4,-30.0,368.0,209.2,69.2,158.8,10.2,10.0,47.2,69.0,33.4,52.6,43.0,40.8,17.8,13.2,162.2,200.0,11.4,7.6,52.0,6.6,5.6
2012R1206,Port Adelaide,0.369428344620957,Western Bulldogs,Western Bulldogs,Western Bulldogs,2012-06-17,2012,R12,Docklands,16:40:00,0,0,84.2,2.2399999999999998,12,80.6,3.6,6.4,342.0,196.2,80.4,145.8,12.2,7.2,47.6,72.8,35.4,48.2,42.4,46.6,16.6,15.8,142.4,195.8,9.6,6.4,45.2,11.6,7.6
2012R1301,Geelong,0.4710005943680953,Sydney,Sydney,Sydney,2012-06-22,2012,R13,S.C.G.,19:50:00,0,0,94.8,0.8,12,87.8,7.0,13.0,361.8,211.0,102.4,150.8,13.6,10.6,37.0,61.8,30.2,52.6,34.0,49.2,18.6,20.0,137.2,225.4,12.8,11.6,46.4,10.4,8.6
2012R1301,Sydney,0.5212915826261091,Sydney,Sydney,Geelong,2012-06-22,2012,R13,S.C.G.,19:50:00,1,1,100.2,13.040000000000001,12,72.2,28.0,85.4,370.0,206.8,78.4,163.2,14.8,8.2,37.6,73.0,39.8,54.8,38.0,49.6,16.8,19.0,139.2,223.2,7.8,11.4,56.2,12.4,10.4
2012R1302,Brisbane Lions,0.307694018009449,Brisbane Lions,Western Bulldogs,Western Bulldogs,2012-06-23,2012,R13,Docklands,13:40:00,1,0,91.6,6.4,8,100.6,-9.0,4.4,345.8,202.0,95.4,143.8,13.8,7.4,36.8,65.4,37.2,48.2,36.0,47.6,17.6,20.0,133.4,211.4,9.2,11.8,57.2,3.8,8.6
2012R1302,Western Bulldogs,0.6856827216702437,Brisbane Lions,Western Bulldogs,Brisbane Lions,2012-06-23,2012,R13,Docklands,13:40:00,0,1,76.6,7.88,12,80.2,-3.6,-11.2,372.6,217.4,75.8,155.2,10.6,11.4,44.0,68.2,32.6,54.2,42.8,43.0,17.6,15.2,163.0,205.4,12.6,9.6,49.8,7.0,6.2
2012R1303,West Coast,0.3293521010225671,Collingwood,Collingwood,Collingwood,2012-06-23,2012,R13,M.C.G.,16:40:00,0,0,87.2,5.4,12,82.2,5.0,12.2,355.6,211.6,100.4,144.0,12.2,11.4,53.6,66.2,31.8,52.0,38.4,41.0,21.4,15.8,140.2,214.0,14.6,10.4,48.2,11.0,6.8
2012R1303,Collingwood,0.6637848462157678,Collingwood,Collingwood,West Coast,2012-06-23,2012,R13,M.C.G.,16:40:00,1,1,113.0,1.6,20,66.0,47.0,80.4,404.0,233.0,97.0,171.0,16.6,11.2,37.6,61.4,33.4,56.2,41.6,43.0,17.4,16.6,155.2,247.4,11.0,11.8,52.6,14.6,11.2
2012R1304,Essendon,0.8113521408024665,Essendon,Essendon,Fremantle,2012-06-23,2012,R13,Subiaco,17:40:00,1,0,98.8,1.6800000000000002,12,71.6,27.2,48.4,379.0,226.2,93.0,152.8,14.0,12.0,42.2,60.0,37.4,62.2,39.8,47.8,18.6,16.8,153.2,224.0,11.6,12.8,53.4,7.8,8.8
2012R1304,Fremantle,0.1839622331508133,Essendon,Essendon,Essendon,2012-06-23,2012,R13,Subiaco,17:40:00,0,1,69.2,1.8800000000000001,8,85.4,-16.2,-30.8,352.0,194.0,81.2,158.0,10.0,7.8,49.2,77.2,37.2,42.4,33.6,45.2,18.4,17.6,143.6,207.8,11.2,8.0,49.0,5.4,8.0
2012R1305,Melbourne,0.544067382383708,Melbourne,Melbourne,Greater Western Sydney,2012-06-24,2012,R13,M.C.G.,15:15:00,1,1,56.0,1.2799999999999998,4,108.2,-52.2,-112.4,328.4,198.2,94.2,130.2,7.6,9.0,42.0,67.2,41.0,43.4,32.4,45.4,16.6,17.4,131.0,195.4,14.6,8.8,53.2,7.6,4.2
2012R1305,Greater Western Sydney,0.4482761597175956,Melbourne,Melbourne,Melbourne,2012-06-24,2012,R13,M.C.G.,15:15:00,0,0,64.4,0.04,4,106.0,-41.6,-87.6,320.4,191.6,75.4,128.8,9.2,7.6,32.0,70.6,34.8,42.0,34.4,48.6,22.4,21.2,134.6,182.4,8.6,7.0,49.0,8.6,5.6
2012R1306,Adelaide,0.5964302647035736,North Melbourne,Adelaide,North Melbourne,2012-06-24,2012,R13,Docklands,16:40:00,0,0,104.2,1.48,16,79.0,25.2,36.0,351.6,219.6,88.8,132.0,15.6,8.6,49.0,65.2,33.6,50.0,43.2,34.8,17.4,14.4,156.0,195.4,14.0,12.0,46.2,7.6,11.6
2012R1306,North Melbourne,0.3961523393348637,North Melbourne,Adelaide,Adelaide,2012-06-24,2012,R13,Docklands,16:40:00,1,1,86.8,2.2399999999999998,8,109.2,-22.4,-38.6,343.2,199.6,79.6,143.6,12.6,8.8,42.0,65.4,33.2,54.0,38.8,43.4,15.0,19.4,140.8,196.6,11.0,9.8,49.6,10.6,6.8
2012R1401,Hawthorn,0.7843009701389188,Hawthorn,Hawthorn,Carlton,2012-06-29,2012,R14,M.C.G.,19:50:00,1,0,122.2,6.44,16,78.2,44.0,73.6,373.0,225.8,88.2,147.2,17.8,13.4,40.8,75.0,30.2,62.8,44.0,43.2,17.8,17.2,146.2,221.8,9.4,13.0,49.4,9.0,10.0
2012R1401,Carlton,0.2105158402326347,Hawthorn,Hawthorn,Hawthorn,2012-06-29,2012,R14,M.C.G.,19:50:00,0,1,72.2,1.0399999999999998,4,89.6,-17.4,-31.0,333.8,189.2,64.8,144.6,10.0,9.4,49.4,76.4,34.0,48.0,44.2,47.4,15.8,17.8,147.6,179.8,9.6,8.4,56.8,11.2,5.2
2012R1402,Collingwood,0.8071349910124304,Collingwood,Collingwood,Fremantle,2012-06-30,2012,R14,M.C.G.,13:45:00,1,1,106.8,2.2399999999999998,20,70.8,36.0,61.2,390.2,224.0,91.2,166.2,15.6,11.6,34.4,64.0,35.8,51.6,40.6,43.4,16.4,16.4,154.0,234.2,12.0,11.2,52.2,16.0,9.8
2012R1402,Fremantle,0.1880989211090554,Collingwood,Collingwood,Collingwood,2012-06-30,2012,R14,M.C.G.,13:45:00,0,0,69.6,1.8800000000000001,4,98.6,-29.0,-53.2,342.6,197.4,83.6,145.2,10.4,5.8,43.0,74.2,38.2,40.6,33.6,45.4,17.6,17.0,140.4,199.8,11.2,8.4,50.6,6.2,8.2
2012R1403,Richmond,0.6519090532443464,Adelaide,Richmond,Adelaide,2012-06-30,2012,R14,Football Park,13:40:00,0,0,103.8,7.2,12,93.6,10.2,14.2,386.0,217.0,78.0,169.0,14.8,12.4,44.4,66.6,27.4,61.4,39.6,47.6,17.6,20.0,160.6,221.0,11.2,10.4,53.8,8.0,9.4
2012R1403,Adelaide,0.3411100519192599,Adelaide,Richmond,Richmond,2012-06-30,2012,R14,Football Park,13:40:00,1,1,97.6,1.48,12,88.8,8.8,15.0,335.8,213.2,89.4,122.6,14.4,9.0,46.6,60.6,33.0,49.2,40.8,36.2,16.2,15.0,149.4,187.2,12.8,12.0,50.8,6.2,10.8
