gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
2022R1805,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Richmond,0,0,not played yet,0,0,0,0
2022R1806,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,St Kilda,0,0,not played yet,0,0,0,0
2022R1807,2022,R18,15/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Collingwood,0,0,not played yet,0,0,0,0
2022R1808,2022,R18,15/07/2022,TIO Traeger Park,12:30:00 PM,0,Melbourne,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R1809,2022,R18,15/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R1901,2022,R19,22/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R1902,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R1903,2022,R19,22/07/2022,MCG,12:00:00 PM,0,Collingwood,0,Essendon,0,0,not played yet,0,0,0,0
2022R1904,2022,R19,22/07/2022,Blundstone Arena,12:00:00 PM,0,North Melbourne,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R1905,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Richmond,0,Fremantle,0,0,not played yet,0,0,0,0
2022R1906,2022,R19,22/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R1907,2022,R19,22/07/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1908,2022,R19,22/07/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R1909,2022,R19,22/07/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,St Kilda,0,0,not played yet,0,0,0,0
2022R2001,2022,R20,29/07/2022,MCG,12:00:00 PM,0,Collingwood,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R2002,2022,R20,29/07/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R2003,2022,R20,29/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R2004,2022,R20,29/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R2005,2022,R20,29/07/2022,MCG,12:00:00 PM,0,Richmond,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R2006,2022,R20,29/07/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R2007,2022,R20,29/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R2008,2022,R20,29/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Carlton,0,0,not played yet,0,0,0,0
2022R2009,2022,R20,29/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Melbourne,0,0,not played yet,0,0,0,0
2022R2101,2022,R21,5/08/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Carlton,0,0,not played yet,0,0,0,0
2022R2102,2022,R21,5/08/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,St Kilda,0,0,not played yet,0,0,0,0
2022R2103,2022,R21,5/08/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Essendon,0,0,not played yet,0,0,0,0
2022R2104,2022,R21,5/08/2022,University of Tasmania Stadium,12:00:00 PM,0,Hawthorn,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R2105,2022,R21,5/08/2022,MCG,12:00:00 PM,0,Melbourne,0,Collingwood,0,0,not played yet,0,0,0,0
2022R2106,2022,R21,5/08/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R2107,2022,R21,5/08/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Fremantle,0,0,not played yet,0,0,0,0
2022R2108,2022,R21,5/08/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Richmond,0,0,not played yet,0,0,0,0
2022R2109,2022,R21,5/08/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R2201,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R2202,2022,R22,12/08/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R2203,2022,R22,12/08/2022,MCG,12:00:00 PM,0,Melbourne,0,Carlton,0,0,not played yet,0,0,0,0
2022R2204,2022,R22,12/08/2022,MCG,12:00:00 PM,0,Richmond,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R2205,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R2206,2022,R22,12/08/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Collingwood,0,0,not played yet,0,0,0,0
2022R2207,2022,R22,12/08/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R2208,2022,R22,12/08/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R2209,2022,R22,12/08/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R2301,2022,R23,19/08/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Melbourne,0,0,not played yet,0,0,0,0
2022R2302,2022,R23,19/08/2022,MCG,12:00:00 PM,0,Carlton,0,Collingwood,0,0,not played yet,0,0,0,0
2022R2303,2022,R23,19/08/2022,MCG,12:00:00 PM,0,Essendon,0,Richmond,0,0,not played yet,0,0,0,0
2022R2304,2022,R23,19/08/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R2305,2022,R23,19/08/2022,Manuka Oval,12:00:00 PM,0,GWS Giants,0,Fremantle,0,0,not played yet,0,0,0,0
