team,team2,gameid,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
Gold Coast,North Melbourne,2017R1504,2017-07-01,2017,R15,Carrara,16:35:00,1,1,81.4000000000000000,0.4,8,92.8000000000000000,-11.4000000000000000,-14.6,387.4000000000000000,209.8000000000000000,98.6000000000000000,177.6000000000000000,11.6000000000000000,10.8000000000000000,44.8000000000000000,66.8000000000000000,38.6000000000000000,46.2000000000000000,33.8000000000000000,52.4000000000000000,15.2000000000000000,16.8000000000000000,137.8000000000000000,252.8000000000000000,11.2000000000000000,11.2000000000000000,45.6000000000000000,10.0000000000000000,8.6000000000000000
Gold Coast,St Kilda,2017R1409,2017-06-25,2017,R14,Docklands,16:40:00,0,0,74.6000000000000000,0.36,8,94.2000000000000000,-19.6000000000000000,-43.8,398.4000000000000000,209.6000000000000000,92.0000000000000000,188.8000000000000000,10.4000000000000000,10.8000000000000000,45.0000000000000000,69.2000000000000000,42.8000000000000000,46.0000000000000000,34.0000000000000000,54.4000000000000000,16.0000000000000000,17.2000000000000000,142.6000000000000000,257.4000000000000000,10.4000000000000000,9.4000000000000000,49.6000000000000000,10.2000000000000000,7.4000000000000000
Gold Coast,Carlton,2017R1305,2017-06-17,2017,R13,Carrara,19:25:00,0,1,84.8000000000000000,0,12,97.4000000000000000,-12.6000000000000000,-36,425.0000000000000000,220.2000000000000000,103.4000000000000000,204.8000000000000000,11.8000000000000000,12.2000000000000000,47.0000000000000000,68.8000000000000000,41.8000000000000000,51.4000000000000000,35.6000000000000000,52.0000000000000000,14.8000000000000000,14.8000000000000000,146.0000000000000000,279.6000000000000000,12.4000000000000000,11.2000000000000000,49.4000000000000000,11.2000000000000000,8.2000000000000000
Gold Coast,Hawthorn,2017R1203,2017-06-10,2017,R12,M.C.G.,13:45:00,1,0,84.6000000000000000,0,8,103.0000000000000000,-18.4000000000000000,-42.8,418.2000000000000000,216.6000000000000000,99.4000000000000000,201.6000000000000000,12.0000000000000000,10.8000000000000000,44.6000000000000000,66.0000000000000000,43.4000000000000000,52.6000000000000000,35.0000000000000000,54.6000000000000000,15.8000000000000000,15.8000000000000000,143.4000000000000000,272.4000000000000000,12.0000000000000000,10.2000000000000000,46.8000000000000000,12.4000000000000000,9.0000000000000000
Gold Coast,West Coast,2017R1103,2017-06-03,2017,R11,Carrara,13:45:00,1,1,85.8000000000000000,3.3600000000000003,4,118.2000000000000000,-32.4000000000000000,-59.2,413.8000000000000000,212.6000000000000000,95.0000000000000000,201.2000000000000000,12.4000000000000000,9.6000000000000000,43.4000000000000000,61.0000000000000000,43.6000000000000000,52.6000000000000000,36.0000000000000000,56.8000000000000000,16.0000000000000000,16.2000000000000000,144.0000000000000000,267.6000000000000000,11.4000000000000000,10.2000000000000000,48.0000000000000000,12.0000000000000000,9.2000000000000000
Gold Coast,Brisbane Lions,2017R106,2017-03-25,2017,R1,Carrara,19:05:00,0,1,66.0000000000000000,3.5200000000000005,0,88.0000000000000000,-22.0000000000000000,-41.6,356.0000000000000000,194.2000000000000000,86.6000000000000000,161.8000000000000000,9.2000000000000000,8.6000000000000000,26.2000000000000000,65.0000000000000000,33.4000000000000000,50.8000000000000000,32.6000000000000000,39.4000000000000000,17.2000000000000000,12.8000000000000000,138.2000000000000000,220.8000000000000000,11.8000000000000000,9.2000000000000000,47.2000000000000000,8.2000000000000000,5.8000000000000000
Gold Coast,Melbourne,2017R1004,2017-05-27,2017,R10,Traeger Park,16:05:00,0,0,90.0000000000000000,3.3600000000000003,8,110.2000000000000000,-20.2000000000000000,-44.8,427.6000000000000000,221.4000000000000000,102.6000000000000000,206.2000000000000000,13.2000000000000000,9.2000000000000000,40.6000000000000000,58.8000000000000000,40.0000000000000000,53.8000000000000000,36.8000000000000000,55.0000000000000000,15.2000000000000000,17.4000000000000000,140.4000000000000000,283.4000000000000000,10.0000000000000000,12.0000000000000000,46.0000000000000000,12.4000000000000000,10.0000000000000000
Gold Coast,Adelaide,2016R903,2016-05-21,2016,R9,Carrara,14:10:00,0,1,73.6000000000000000,1.64,0,140.6000000000000000,-67.0000000000000000,-110.4,325.2000000000000000,164.6000000000000000,70.4000000000000000,160.6000000000000000,11.0000000000000000,5.4000000000000000,40.2000000000000000,67.2000000000000000,40.8000000000000000,40.2000000000000000,30.6000000000000000,54.6000000000000000,19.6000000000000000,24.6000000000000000,130.4000000000000000,194.4000000000000000,10.6000000000000000,8.4000000000000000,43.8000000000000000,11.4000000000000000,6.2000000000000000
Gold Coast,Greater Western Sydney,2016R804,2016-05-14,2016,R8,Sydney Showground,16:35:00,0,0,81.0000000000000000,1.64,4,119.0000000000000000,-38.0000000000000000,-52.6,343.2000000000000000,177.2000000000000000,80.4000000000000000,166.0000000000000000,11.8000000000000000,7.6000000000000000,36.2000000000000000,67.6000000000000000,40.6000000000000000,45.2000000000000000,31.0000000000000000,51.2000000000000000,18.6000000000000000,21.2000000000000000,130.0000000000000000,214.0000000000000000,10.4000000000000000,12.0000000000000000,48.4000000000000000,10.2000000000000000,7.4000000000000000
Gold Coast,Melbourne,2016R705,2016-05-07,2016,R7,Carrara,17:10:00,0,1,88.8000000000000000,1.64,8,107.0000000000000000,-18.2000000000000000,-30.6,345.2000000000000000,178.6000000000000000,79.4000000000000000,166.6000000000000000,12.8000000000000000,9.6000000000000000,31.2000000000000000,66.8000000000000000,38.8000000000000000,48.2000000000000000,31.2000000000000000,48.4000000000000000,18.8000000000000000,19.0000000000000000,127.6000000000000000,219.8000000000000000,10.0000000000000000,12.6000000000000000,48.8000000000000000,12.2000000000000000,9.0000000000000000
