gameid,team,model_prob_1,model_prob_2,model_odds_1,model_odds_2,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1401,Carlton,0.2105158402326347,0.7894841597673653,4.7502363665125165,1.2666498594407096,Hawthorn,Hawthorn,Hawthorn,2012-06-29,2012,R14,M.C.G.,19:50:00,0,1,72.2,1.0399999999999998,4,89.6,-17.4,-31.0,333.8,189.2,64.8,144.6,10.0,9.4,49.4,76.4,34.0,48.0,44.2,47.4,15.8,17.8,147.6,179.8,9.6,8.4,56.8,11.2,5.2
2012R1402,Collingwood,0.8071349910124304,0.1928650089875696,1.238950127469569,5.18497370388452,Collingwood,Collingwood,Fremantle,2012-06-30,2012,R14,M.C.G.,13:45:00,1,1,106.8,2.2399999999999998,20,70.8,36.0,61.2,390.2,224.0,91.2,166.2,15.6,11.6,34.4,64.0,35.8,51.6,40.6,43.4,16.4,16.4,154.0,234.2,12.0,11.2,52.2,16.0,9.8
2012R1403,Adelaide,0.3411100519192599,0.6588899480807401,2.9316051941990207,1.5177041369546898,Adelaide,Richmond,Richmond,2012-06-30,2012,R14,Football Park,13:40:00,1,1,97.6,1.48,12,88.8,8.8,15.0,335.8,213.2,89.4,122.6,14.4,9.0,46.6,60.6,33.0,49.2,40.8,36.2,16.2,15.0,149.4,187.2,12.8,12.0,50.8,6.2,10.8
2012R1404,West Coast,0.8484831319644365,0.1515168680355635,1.1785738128756509,6.599925229217935,West Coast,West Coast,Gold Coast,2012-06-30,2012,R14,Subiaco,14:40:00,1,1,93.2,5.999999999999999,12,76.6,16.6,34.8,365.8,212.4,98.4,153.4,13.2,11.0,55.4,64.6,28.4,54.2,40.8,39.6,20.0,14.8,143.2,222.6,14.8,11.2,48.2,11.4,7.8
2012R1405,Essendon,0.6112167093182095,0.3887832906817905,1.6360809263795562,2.5721270022853817,Essendon,Essendon,Western Bulldogs,2012-06-30,2012,R14,Docklands,19:40:00,1,1,98.8,1.64,12,79.0,19.8,30.4,377.4,220.0,91.6,157.4,14.2,11.0,43.8,59.4,36.8,60.4,37.6,51.2,17.6,17.6,150.6,225.6,11.0,12.0,55.2,10.0,8.4
2012R1406,Sydney,0.8860088030621543,0.1139911969378456,1.1286569575199232,8.772607243919513,Sydney,Sydney,Greater Western Sydney,2012-06-30,2012,R14,Stadium Australia,19:40:00,1,1,103.8,13.0,16,68.8,35.0,96.4,383.2,211.2,78.8,172.0,15.6,8.4,39.0,71.6,43.2,54.6,40.6,49.0,18.4,19.0,146.4,229.8,8.2,11.0,57.4,14.0,11.4
2012R1407,Geelong,0.615062061026912,0.384937938973088,1.6258521917778392,2.5978213596397746,Geelong,Geelong,Port Adelaide,2012-07-01,2012,R14,Kardinia Park,13:10:00,1,1,95.2,0.8,12,79.4,15.8,25.2,363.2,219.4,105.0,143.8,13.8,10.0,40.4,63.6,32.4,53.6,34.8,49.2,18.8,20.4,143.0,221.0,16.2,11.4,48.4,9.8,8.4
2012R1408,Brisbane Lions,0.5219296812040292,0.4780703187959708,1.9159669128092505,2.091742492021925,Brisbane Lions,Brisbane Lions,Melbourne,2012-07-01,2012,R14,Gabba,15:15:00,1,1,102.8,7.040000000000001,12,88.6,14.2,45.2,361.0,210.2,99.4,150.8,15.8,6.8,35.0,69.4,37.0,51.2,37.0,44.6,16.6,19.2,137.6,222.2,11.0,12.6,56.6,6.0,10.6
2012R1409,St Kilda,0.4692935662744671,0.5307064337255328,2.1308623681730774,1.884280906451519,North Melbourne,North Melbourne,North Melbourne,2012-07-01,2012,R14,Docklands,16:40:00,0,1,114.0,5.68,8,97.8,16.2,36.8,361.2,205.6,86.0,155.6,16.4,13.0,30.4,64.0,27.2,57.0,39.0,45.6,19.2,17.8,135.2,225.2,9.8,14.4,45.0,13.2,10.4
2012R1501,Collingwood,0.7433446678767719,0.2566553321232281,1.3452709667728122,3.8962759578276334,Carlton,Collingwood,Carlton,2012-07-06,2012,R15,M.C.G.,19:50:00,0,1,109.0,2.6800000000000006,20,69.6,39.4,65.8,386.4,222.2,86.8,164.2,15.8,12.2,38.2,73.0,30.6,55.2,42.6,41.4,16.4,17.0,154.6,231.8,12.0,11.4,50.8,13.2,10.4
